"Time,ms",3,5,6,6,6,15,17,17
0,-2.351362809,1.26E-05,-1.08E+01,1.15E-06,3.12E-06,-3.10E+00,1.47E-06,4.76E-06
0.5,-2.47356229,1.24E-05,-1.11E+01,9.60E-07,2.72E-06,-3.45E+00,1.31E-06,4.56E-06
1,-2.625093657,1.22E-05,-1.15E+01,7.46E-07,2.29E-06,-3.83E+00,1.13E-06,4.34E-06
1.5,-2.804675887,1.20E-05,-1.19E+01,5.06E-07,1.84E-06,-4.25E+00,9.30E-07,4.10E-06
2,-3.01051864,1.18E-05,-1.24E+01,2.44E-07,1.37E-06,-4.70E+00,7.25E-07,3.84E-06
2.5,-3.240335445,1.15E-05,-1.29E+01,-3.80E-08,8.94E-07,-5.16E+00,5.14E-07,3.57E-06
3,-3.491362577,1.11E-05,-1.35E+01,-3.35E-07,4.16E-07,-5.64E+00,3.03E-07,3.29E-06
3.5,-3.760387017,1.08E-05,-1.41E+01,-6.43E-07,-5.82E-08,-6.12E+00,9.50E-08,3.01E-06
4,-4.043784884,1.04E-05,-1.47E+01,-9.57E-07,-5.21E-07,-6.61E+00,-1.05E-07,2.72E-06
4.5,-4.337563496,9.99E-06,-1.53E+01,-1.27E-06,-9.66E-07,-7.08E+00,-2.91E-07,2.44E-06
5,-4.637414804,9.57E-06,-15.86715189,-1.59E-06,-1.39E-06,-7.54E+00,-4.60E-07,2.16E-06
5.5,-4.9387736,9.14E-06,-16.44667645,-1.89E-06,-1.77E-06,-7.969789294,-6.07E-07,1.90E-06
6,-5.236882316,8.69E-06,-16.99732275,-2.19E-06,-2.12E-06,-8.371383046,-7.27E-07,1.66E-06
6.5,-5.526862424,8.25E-06,-17.50780757,-2.46E-06,-2.43E-06,-8.734478797,-8.16E-07,1.43E-06
7,-5.803788099,7.81E-06,-17.96719698,-2.71E-06,-2.68E-06,-9.052427231,-8.71E-07,1.24E-06
7.5,-6.062765806,7.38E-06,-18.36509546,-2.94E-06,-2.88E-06,-9.319131095,-8.89E-07,1.07E-06
8,-6.299014785,6.96E-06,-18.69185508,-3.14E-06,-3.02E-06,-9.529159797,-8.66E-07,9.34E-07
8.5,-6.50794982,6.56E-06,-18.93876106,-3.30E-06,-3.09E-06,-9.677864,-8.01E-07,8.34E-07
9,-6.685264452,6.17E-06,-19.09822458,-3.42E-06,-3.09E-06,-9.761478395,-6.92E-07,7.72E-07
9.5,-6.827011475,5.82E-06,-19.16395195,-3.50E-06,-3.02E-06,-9.777216292,-5.39E-07,7.49E-07
10,-6.929683877,5.50E-06,-19.13111373,-3.54E-06,-2.89E-06,-9.723348739,-3.40E-07,7.66E-07
10.5,-6.990289876,5.21E-06,-18.99649214,-3.54E-06,-2.68E-06,-9.599278201,-9.80E-08,8.24E-07
11,-7.006424312,4.95E-06,-18.75859925,-3.49E-06,-2.40E-06,-9.405589481,1.87E-07,9.22E-07
11.5,-6.976333225,4.74E-06,-18.41779886,-3.40E-06,-2.06E-06,-9.144091564,5.12E-07,1.06E-06
12,-6.898974334,4.56E-06,-17.97637924,-3.26E-06,-1.65E-06,-8.817838534,8.74E-07,1.23E-06
12.5,-6.774065241,4.43E-06,-17.43861685,-3.08E-06,-1.18E-06,-8.431132301,1.27E-06,1.44E-06
13,-6.602123904,4.34E-06,-16.81080721,-2.87E-06,-6.55E-07,-7.989517144,1.69E-06,1.68E-06
13.5,-6.38450183,4.29E-06,-16.10126674,-2.62E-06,-8.60E-08,-7.499736967,2.14E-06,1.95E-06
14,-6.123403182,4.28E-06,-15.32031274,-2.34E-06,5.21E-07,-6.969696642,2.60E-06,2.23E-06
14.5,-5.821892501,4.31E-06,-14.48020066,-2.03E-06,1.16E-06,-6.408386525,3.08E-06,2.54E-06
15,-5.483893347,4.37E-06,-13.59504768,-1.70E-06,1.81E-06,-5.82579969,3.56E-06,2.85E-06
15.5,-5.114172382,4.47E-06,-12.68071264,-1.37E-06,2.47E-06,-5.232828244,4.03E-06,3.17E-06
16,-4.71831072,4.59E-06,-11.75465604,-1.02E-06,3.13E-06,-4.641145551,4.49E-06,3.48E-06
16.5,-4.302665275,4.73E-06,-10.83576717,-6.83E-07,3.77E-06,-4.063071174,4.93E-06,3.79E-06
17,-3.874313734,4.89E-06,-9.944170415,-3.54E-07,4.38E-06,-3.511423984,5.33E-06,4.07E-06
17.5,-3.440992714,5.06E-06,-9.101005162,-4.59E-08,4.95E-06,-2.999363915,5.70E-06,4.33E-06
18,-3.011020681,5.24E-06,-8.328176591,2.33E-07,5.46E-06,-2.540222795,6.02E-06,4.55E-06
18.5,-2.593210638,5.41E-06,-7.648102837,4.73E-07,5.90E-06,-2.147327677,6.29E-06,4.73E-06
19,-2.196774631,5.57E-06,-7.083430773,6.65E-07,6.26E-06,-1.833817919,6.49E-06,4.85E-06
19.5,-1.83121665,5.71E-06,-6.656744517,7.99E-07,6.52E-06,-1.612461119,6.62E-06,4.92E-06
20,-1.506220883,5.82E-06,-6.390269391,8.67E-07,6.67E-06,-1.495465426,6.67E-06,4.92E-06
20.5,-1.231530405,5.90E-06,-6.305560419,8.58E-07,6.70E-06,-1.494294793,6.63E-06,4.85E-06
21,-1.016822921,5.94E-06,-6.423197192,7.66E-07,6.59E-06,-1.619488671,6.50E-06,4.70E-06
21.5,-0.871581676,5.93E-06,-6.762475095,5.82E-07,6.34E-06,-1.880486934,6.27E-06,4.46E-06
22,-0.804964827,5.86E-06,-7.341106993,2.99E-07,5.94E-06,-2.285465143,5.94E-06,4.13E-06
22.5,-0.825674192,5.72E-06,-8.174930372,-8.99E-08,5.38E-06,-2.841180276,5.51E-06,3.70E-06
23,-0.941825192,5.52E-06,-9.277635399,-5.89E-07,4.65E-06,-3.552831458,4.97E-06,3.18E-06
23.5,-1.160820375,5.24E-06,-10.66050118,-1.20E-06,3.75E-06,-4.42393457,4.32E-06,2.56E-06
24,-1.489226406,4.87E-06,-12.33216608,-1.94E-06,2.68E-06,-5.456215604,3.57E-06,1.84E-06
24.5,-1.932659188,4.42E-06,-14.29840995,-2.79E-06,1.43E-06,-6.649525858,2.71E-06,1.02E-06
25,-2.49567529,3.89E-06,-16.56197674,-3.77E-06,4.86E-09,-8.001773494,1.75E-06,9.38E-08
25.5,-3.181673719,3.26E-06,-19.1224226,-4.86E-06,-1.59E-06,-9.508881703,6.89E-07,-9.25E-07
26,-3.99280907,2.54E-06,-21.97599497,-6.08E-06,-3.36E-06,-11.16476869,-4.63E-07,-2.04E-06
26.5,-4.92991694,1.72E-06,-25.11555795,-7.41E-06,-5.29E-06,-12.96135088,-1.70E-06,-3.24E-06
27,-5.992451406,8.17E-07,-28.53054684,-8.85E-06,-7.37E-06,-14.88857379,-3.02E-06,-4.52E-06
27.5,-7.178441592,-1.78E-07,-32.20696453,-1.04E-05,-9.60E-06,-16.93446393,-4.40E-06,-5.87E-06
28,-8.484457794,-1.26E-06,-36.12741784,-1.20E-05,-1.20E-05,-19.0852079,-5.84E-06,-7.29E-06
28.5,-9.905599654,-2.42E-06,-40.2711994,-1.38E-05,-1.44E-05,-21.32525697,-7.33E-06,-8.77E-06
29,-11.43549707,-3.66E-06,-44.61441131,-1.56E-05,-1.70E-05,-23.63744352,-8.86E-06,-1.03E-05
